idx,method,ws,bpr,mae
82,NCC,15,4.716669029727303,1.2854885
83,SAD,7,21.08068114819482,4.481428
83,SAD,15,14.105039248101178,3.5160346
83,SSD,7,19.3442850371672,4.010815
83,SSD,15,12.444942833030833,3.200435
83,NCC,7,7.632281707725923,1.9483271
83,NCC,15,5.790684500757217,1.5647695
84,SAD,7,29.806522589995026,6.8266335
84,SAD,15,20.645700443231462,4.585303
84,SSD,7,27.906656934615427,6.3226175
84,SSD,15,18.454931082267567,4.0635576
84,NCC,7,6.798684057419102,1.799578
84,NCC,15,6.974284112426349,1.4746656
85,SAD,7,54.73203905560267,17.311913
85,SAD,15,44.003985979143536,14.410324
85,SSD,7,52.62104352234683,16.557554
85,SSD,15,40.80121677258066,13.4409075
85,NCC,7,24.616043566052745,7.3650374
85,NCC,15,19.19738463824617,6.1826825
86,SAD,7,55.84335936795397,16.85252
86,SAD,15,44.69146268872093,14.304028
86,SSD,7,53.10701852486517,15.923837
86,SSD,15,40.8701455653962,12.890809
86,NCC,7,29.76244160248201,8.565523
86,NCC,15,23.29858042172478,6.6678724
87,SAD,7,28.649987350705032,7.147228
87,SAD,15,20.819408012995485,5.573696
87,SSD,7,26.45300454043114,6.6108055
87,SSD,15,19.86471911907647,5.0041275
87,NCC,7,9.317870125028294,1.9575694
87,NCC,15,8.97034738958497,1.5418675
88,SAD,7,24.266274437225434,5.938426
88,SAD,15,18.944876827617108,4.2409325
88,SSD,7,22.384352383086078,5.4447494
88,SSD,15,17.697080683024712,3.8572745
88,NCC,7,6.893562307010452,1.7057439
88,NCC,15,5.99546078842014,1.3686165
89,SAD,7,40.23533829880453,9.410911
89,SAD,15,30.08074106528134,6.021174
89,SSD,7,38.13732240095137,8.871617
89,SSD,15,26.87613444326219,5.586846
89,NCC,7,10.220942604994681,1.9466628
89,NCC,15,8.38705639356575,1.3601742
90,SAD,7,47.735650675821184,10.21289
90,SAD,15,37.224002736220726,7.1345916
90,SSD,7,46.01917888042969,9.844481
90,SSD,15,35.74695025398715,6.728132
90,NCC,7,26.156243270290467,4.100371
90,NCC,15,20.619196615193623,2.972704
91,SAD,7,53.40424680288991,11.595823
91,SAD,15,44.811575639922346,8.783219
91,SSD,7,52.35555466607962,11.329917
91,SSD,15,42.6131246622771,8.378891
91,NCC,7,29.21728340704865,4.5569634
91,NCC,15,25.638921688314287,3.3987885
92,SAD,7,40.36756076609439,9.163081
92,SAD,15,30.669183211740652,6.231573
92,SSD,7,38.154694929403654,8.483512
92,SSD,15,27.01051383494852,5.595968
92,NCC,7,8.714747196109034,1.8298341
92,NCC,15,8.170302348372111,1.3751727
93,SAD,7,42.65979864200421,8.600301
93,SAD,15,31.371331426302767,5.865328
93,SSD,7,39.99979640243095,8.011769
93,SSD,15,28.16365172599839,5.341641
93,NCC,7,19.714352610629827,3.1019425
93,NCC,15,14.589801797766535,2.2762396
94,SAD,7,42.63017306943182,9.488057
94,SAD,15,30.556122354337866,6.221225
94,SSD,7,40.31887068949526,8.994731
94,SSD,15,27.31362110222783,5.8105865
94,NCC,7,13.83164221187557,2.870401
94,NCC,15,11.192008755495372,2.0347373
95,SAD,7,43.4524856448192,9.278426
95,SAD,15,33.63095546014174,6.516184
95,SSD,7,42.147845429620816,8.930266
95,SSD,15,32.359422688945216,6.0521946
95,NCC,7,22.157156898246342,3.9360561
